px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-24.7412	-6.14437	4.74454	2.22266	-0.57774	-24.6108	-6.00878	-24.8107	-6.16764	-2.93846	3.79553	7.97176e-005
-24.9223	-5.94335	4.79121	2.20084	-0.568311	-25.146	-5.91902	-24.955	-5.97587	-2.83295	3.87484	1.73024e-006
-25.053	-5.7389	4.79548	2.17031	-0.566723	-24.8975	-5.02285	-25.094	-5.7802	-2.72537	3.95132	6.73066e-005
-25.1863	-5.5658	4.76744	2.14957	-0.559619	-25.1941	-5.64372	-25.2276	-5.58079	-2.61581	4.02492	1.59304e-006
-25.3396	-5.38058	4.77528	2.14381	-0.518923	-25.5328	-5.4399	-25.3556	-5.37777	-2.50435	4.09557	5.56933e-005
-25.4825	-5.15892	4.81007	2.1174	-0.518151	-25.5713	-5.10241	-25.4779	-5.1713	-2.39109	4.16322	1.45416e-006
-25.6146	-4.9805	4.79013	2.11435	-0.47445	-25.0178	-6.55904	-25.5946	-4.96152	-2.27613	4.22781	4.91766e-005
-25.7294	-4.80578	4.74872	2.09642	-0.469619	-25.6952	-4.89995	-25.7055	-4.7486	-2.15956	4.2893	1.36088e-006
-25.8502	-4.60019	4.75229	2.07841	-0.457479	-25.8162	-4.40681	-25.8105	-4.53268	-2.04149	4.34764	4.4607e-005
-25.9615	-4.36021	4.78801	2.04784	-0.464693	-25.9516	-4.26659	-25.9096	-4.31392	-1.92202	4.40279	1.2942e-006
-26.0704	-4.13962	4.79027	2.00356	-0.518533	-26.8953	-4.43966	-26.0027	-4.0925	-1.80125	4.45471	3.89529e-005
-26.1603	-3.86048	4.85887	1.96224	-0.533104	-26.1198	-3.67723	-26.0897	-3.86856	-1.67928	4.50337	1.23614e-006
-26.234	-3.62397	4.85962	1.91054	-0.587977	-26.5652	-3.85723	-26.1706	-3.64227	-1.55623	4.54875	2.85445e-005
-26.2625	-3.35732	4.87631	1.85852	-0.611512	-25.9974	-3.24722	-26.2453	-3.41381	-1.4322	4.59081	1.1342e-006
-26.3121	-3.11385	4.87918	1.8127	-0.641121	-26.2976	-3.01078	-26.3138	-3.18332	-1.30729	4.62954	1.62113e-005
-26.3366	-2.87645	4.86344	1.77082	-0.652091	-26.1741	-2.87885	-26.376	-2.95098	-1.18162	4.66493	9.92783e-007
-26.395	-2.64964	4.85347	1.74881	-0.634751	-26.4681	-3.44967	-26.4319	-2.71697	-1.05529	4.69696	7.4608e-006
-26.4723	-2.48867	4.76745	1.74042	-0.61399	-26.674	-2.73852	-26.4815	-2.48143	-0.928411	4.72562	8.67857e-007
-26.5278	-2.25346	4.7733	1.72434	-0.585208	-26.657	-1.72382	-26.5247	-2.24456	-0.80109	4.75091	4.05017e-006
-26.578	-2.0542	4.73044	1.70512	-0.576474	-26.6691	-2.17333	-26.5616	-2.0065	-0.673434	4.77284	7.93636e-007
-26.6092	-1.81729	4.73258	1.68601	-0.551623	-26.3248	-1.32261	-26.5921	-1.76744	-0.545553	4.79141	2.13708e-006
-26.6069	-1.57005	4.74051	1.64812	-0.562176	-26.4671	-1.53207	-26.6161	-1.52753	-0.417552	4.80664	7.56364e-007
-26.604	-1.33863	4.73116	1.60564	-0.591351	-26.4998	-2.19526	-26.6338	-1.28695	-0.289538	4.81852	6.81354e-007
-26.6073	-1.11173	4.71787	1.57624	-0.591665	-26.5998	-1.14277	-26.6451	-1.04586	-0.161616	4.8271	7.31948e-007
-26.6368	-0.885601	4.71016	1.56147	-0.571768	-27.2008	-1.67679	-26.65	-0.804425	-0.0338883	4.83238	1.58981e-007
-26.6476	-0.637607	4.73064	1.53824	-0.565375	-26.7355	-0.59539	-26.6485	-0.562811	0.0935412	4.83439	7.10175e-007
-26.6348	-0.396316	4.74164	1.49996	-0.590559	-26.9891	0.0351487	-26.6406	-0.321181	0.220572	4.83317	6.62138e-007
-26.5892	-0.108697	4.81023	1.45988	-0.599256	-26.4553	0.0602653	-26.6264	-0.0796947	0.347104	4.82874	7.10169e-007
-26.5698	0.129945	4.81325	1.43061	-0.603822	-26.9537	0.136943	-26.6059	0.161489	0.473041	4.82116	0.999163
-26.5463	0.416339	4.88153	1.4054	-0.596125	-26.6201	0.57588	-26.5792	0.402213	0.598287	4.81045	7.16519e-007
-26.5342	0.654036	4.87225	1.39708	-0.557522	-26.8241	0.381506	-26.5462	0.642323	0.722748	4.79667	6.02582e-006
